,crypto_name,first_date_marketcap
1,bitcoin,2013-04-28
2,litecoin,2013-04-28
20,ripple,2013-08-04
7,dogecoin,2013-12-15
4,dash,2014-02-14
16,stellar,2014-08-05
13,nem,2015-04-01
21,ethereum,2015-08-07
28,ethereum-classic,2016-07-24
10,neo,2016-09-09
31,iota,2017-06-13
15,eos,2017-07-01
0,bitcoin-cash,2017-07-23
35,binance-coin,2017-07-25
5,tron,2017-09-13
34,chainlink,2017-09-20
3,cardano,2017-10-01
17,theta,2018-01-17
23,vechain,2018-08-03
18,wrapped-bitcoin,2019-01-30
32,bittorrent,2019-01-31
30,privcy,2019-02-08
22,business-credit-alliance-chain,2019-02-08
12,matic-network,2019-04-28
33,drep,2019-05-07
14,algorand,2019-06-21
24,luna,2019-07-26
19,hex,2019-12-17
26,solana,2020-04-10
6,avalanche,2020-07-13
29,polkadot-new,2020-08-20
27,uniswap,2020-09-17
11,file-coin,2020-10-15
25,deri-protocol,2021-02-11
36,shiba-inu,2021-03-15
8,klaytn,2021-03-25
9,internet-computer,2021-05-10
38,p-chainlink,2021-10-05
37,p-uniswap,2021-10-05
39,p-matic-network,2021-10-05
