,crypto_name,first_date_marketcap
809,peercoin,2013-04-28
1379,namecoin,2013-04-28
36,litecoin,2013-04-28
16,bitcoin,2013-04-28
229,feathercoin,2013-05-03
1503,primecoin,2013-07-11
665,ripple,2013-08-04
345,nxt,2013-12-04
385,dogecoin,2013-12-15
999,omni,2013-12-24
587,vertcoin,2014-01-20
1419,digibyte,2014-02-06
883,reddcoin,2014-02-10
126,dash,2014-02-14
1281,counterparty,2014-02-15
1033,monacoin,2014-03-20
1487,gulden,2014-04-08
381,einsteinium,2014-04-09
1053,groestlcoin,2014-04-11
509,maidsafecoin,2014-04-28
1464,monero,2014-05-21
83,cloakcoin,2014-06-07
1360,nav-coin,2014-06-12
1348,digitalnote,2014-06-24
300,stealth,2014-07-10
427,viacoin,2014-07-18
967,bitshares,2014-07-21
1124,iocoin,2014-08-02
559,stellar,2014-08-05
1239,syscoin,2014-08-20
1148,emercoin,2014-08-23
1,gamecredits,2014-09-01
15,verge,2014-10-25
859,blocknet,2014-11-01
661,nexus,2015-01-25
1013,gridcoin,2015-02-28
522,nem,2015-04-01
396,aeon,2015-08-04
739,ethereum,2015-08-07
1063,siacoin,2015-08-26
50,expanse,2015-09-15
1116,factom,2015-10-06
628,decred,2016-02-10
511,pivx,2016-02-13
1026,lisk,2016-04-06
251,digixdao,2016-04-18
1510,steem,2016-04-18
349,dnotes,2016-05-14
574,parallelcoin,2016-05-14
747,dimecoin,2016-05-14
500,bytecoin-bcn,2016-05-14
793,augur,2016-05-14
977,ubiq,2016-05-14
891,boolberry,2016-05-14
896,global-currency-reserve,2016-05-14
1011,waves,2016-06-02
1390,ardor,2016-07-23
1129,ethereum-classic,2016-07-24
620,stratis,2016-08-12
417,neo,2016-09-09
1339,pluton,2016-09-17
1245,singulardtv,2016-10-03
861,zcoin,2016-10-06
1151,zcash,2016-10-29
276,zclassic,2016-11-10
751,golem-network-tokens,2016-11-18
430,wings,2017-01-11
148,komodo,2017-02-05
1073,melon,2017-02-22
1398,nano,2017-03-07
22,ark,2017-03-22
886,edgeless,2017-03-30
1207,skycoin,2017-04-17
732,rlc,2017-04-20
991,trust,2017-04-20
84,bitcore,2017-04-27
1072,gnosis-gno,2017-05-01
1336,lunyr,2017-05-01
73,monolith,2017-05-07
1085,humaniq,2017-05-11
948,aragon,2017-05-18
41,qtum,2017-05-24
612,sumokoin,2017-05-30
1233,basic-attention-token,2017-06-01
942,aeternity,2017-06-01
1539,zencash,2017-06-01
1287,metaverse,2017-06-05
589,eboostcoin,2017-06-06
1046,quantum-resistant-ledger,2017-06-10
531,mobilego,2017-06-11
1220,iota,2017-06-13
415,mysterium,2017-06-14
695,more-coin,2017-06-16
1321,zrcoin,2017-06-16
1238,bancor,2017-06-22
451,numeraire,2017-06-23
566,gxchain,2017-06-25
564,funfair,2017-06-27
803,status,2017-06-28
517,ergo,2017-06-29
893,adx-net,2017-07-01
542,eos,2017-07-01
1272,storj,2017-07-02
634,crypto-com,2017-07-03
1097,wagerr,2017-07-05
929,gas,2017-07-06
1397,tenx,2017-07-08
334,metal,2017-07-09
775,populous,2017-07-11
363,santiment,2017-07-12
849,omisego,2017-07-14
1196,civic,2017-07-17
759,ethos,2017-07-18
1071,particl,2017-07-20
2,smartcash,2017-07-21
4,bitcoin-cash,2017-07-23
1527,pillar,2017-07-24
1300,binance-coin,2017-07-25
65,ixledger,2017-07-27
764,oax,2017-07-31
1440,district0x,2017-08-03
1187,stox,2017-08-05
296,bytom,2017-08-08
468,dentacoin,2017-08-11
652,adshares,2017-08-12
681,dent,2017-08-12
1289,the-champcoin,2017-08-15
317,0x 2,2017-08-16
342,0x 3,2017-08-16
969,0x,2017-08-16
1319,yoyow,2017-08-19
727,hypercash,2017-08-20
58,nebulas-token,2017-08-23
1297,achain,2017-08-27
306,maker,2017-08-27
1488,waltonchain,2017-08-27
1366,primas,2017-08-28
1103,loopring,2017-08-30
1356,poet,2017-09-01
1174,monetha,2017-09-06
175,agrello-delta,2017-09-09
1524,moeda-loyalty-points,2017-09-11
410,neblio,2017-09-12
258,tron,2017-09-13
478,decentraland,2017-09-17
305,propy,2017-09-19
943,indorse-token,2017-09-19
1257,chainlink,2017-09-20
1120,blackmoon,2017-09-20
330,kyber-network,2017-09-24
1451,vibe,2017-09-25
938,substratum,2017-09-25
1332,chronologic,2017-09-25
350,kin,2017-09-27
191,salt,2017-09-29
89,cardano,2017-10-01
198,tezos,2017-10-02
407,viberate,2017-10-06
925,internxt,2017-10-07
1117,paypie,2017-10-10
405,everex,2017-10-10
299,hellogold,2017-10-12
160,enigma,2017-10-13
404,zeusshield,2017-10-13
301,cindicator,2017-10-13
6,airswap,2017-10-17
683,blockmason,2017-10-17
1125,aion,2017-10-18
514,maecenas,2017-10-18
903,request,2017-10-20
282,bitcoin-gold,2017-10-23
422,amber,2017-10-23
483,kucoin-shares,2017-10-24
378,nuls,2017-10-25
163,exrnchain,2017-10-25
797,ripio-credit-network,2017-10-26
1139,luxcoin,2017-10-27
56,icon,2017-10-27
208,etherparty,2017-10-30
1229,enjin-coin,2017-11-01
1533,power-ledger,2017-11-01
581,revain,2017-11-01
437,gridplus,2017-11-01
426,atlant,2017-11-01
438,electroneum,2017-11-02
302,streamr-datacoin,2017-11-03
781,shield-xsh,2017-11-03
309,aeron,2017-11-07
205,delphy,2017-11-08
0,raiden-network-token,2017-11-08
1183,decent-bet,2017-11-13
1535,upfiring,2017-11-14
78,genesis-vision,2017-11-15
845,privatix,2017-11-16
725,ink,2017-11-20
786,qash,2017-11-21
1363,quantstamp,2017-11-21
1429,bitcoin-diamond,2017-11-24
515,time-new-bank,2017-11-27
264,blockv,2017-11-28
660,aave 2,2017-11-30
1161,aave,2017-11-30
588,aave 3,2017-11-30
1525,dragonchain,2017-12-03
1411,presearch,2017-12-05
941,cybermiles,2017-12-06
787,bonpay,2017-12-07
1162,datamine,2017-12-08
54,iot-chain,2017-12-10
1083,tael,2017-12-12
255,medishares,2017-12-13
599,uquid_coin,2017-12-13
63,smartmesh,2017-12-14
838,genaro-network,2017-12-18
1468,gifto,2017-12-18
112,ost,2017-12-19
521,starbase,2017-12-20
986,playkey,2017-12-20
1377,storm,2017-12-20
650,stormx,2017-12-20
735,aelf,2017-12-21
1232,wax,2017-12-21
944,medibloc,2017-12-22
1296,bibox-token,2017-12-24
304,bread,2017-12-24
1055,html-coin,2017-12-28
1102,sirin-labs-token,2017-12-28
49,deepbrain-chain,2017-12-28
1256,cryptopay,2017-12-28
42,utrust,2017-12-29
308,qlink,2017-12-29
1376,herocoin,2018-01-02
1195,matryx,2018-01-02
147,lightning-bitcoin,2018-01-03
1278,ignis,2018-01-03
313,game,2018-01-03
446,lamden,2018-01-08
1056,appcoins,2018-01-08
1469,high-performance-blockchain,2018-01-09
185,swftcoin,2018-01-09
472,waykichain,2018-01-09
445,polis,2018-01-11
221,get-protocol,2018-01-11
1244,tokenclub,2018-01-11
1042,zap,2018-01-12
686,kcash,2018-01-12
532,bitcoin-atom,2018-01-13
825,bottos,2018-01-14
630,telcoin,2018-01-15
1086,oneroot-network,2018-01-15
1330,selfkey,2018-01-15
930,iostoken,2018-01-16
611,theta,2018-01-17
195,spacechain,2018-01-17
1001,insurepal,2018-01-19
831,singularitynet,2018-01-19
1542,chatcoin,2018-01-20
795,hydro-protocol,2018-01-20
292,acute-angle-cloud,2018-01-20
1137,mobius,2018-01-20
616,yee,2018-01-20
397,scryinfo,2018-01-20
555,molecular-future,2018-01-22
373,crpt,2018-01-22
718,carvertical,2018-01-22
1138,data,2018-01-22
70,trinity-network-credit,2018-01-22
939,covesting,2018-01-23
1038,tokenbox,2018-01-24
1446,unlimitedip,2018-01-24
1389,truechain,2018-01-24
136,devery,2018-01-24
1159,odyssey,2018-01-24
303,aidcoin,2018-01-24
1218,educare,2018-01-24
1022,origintrail,2018-01-25
834,zilliqa,2018-01-25
998,linkeye,2018-01-25
103,fortuna,2018-01-26
1041,matrix-ai-network,2018-01-27
218,all-sports,2018-01-27
629,coinfi,2018-01-29
752,ruff,2018-01-29
543,cpchain,2018-01-30
1298,zeepin,2018-01-30
389,cargox,2018-01-31
565,elastos,2018-02-01
1178,stk,2018-02-02
114,polymath-network,2018-02-02
491,huobi-token,2018-02-03
471,swissborg,2018-02-03
1307,dmarket,2018-02-03
432,adbank,2018-02-03
1209,zilla,2018-02-03
1453,medical-chain,2018-02-03
285,bluzelle,2018-02-06
1357,thekey,2018-02-07
319,wepower,2018-02-09
87,goldmint,2018-02-09
259,mktcoin,2018-02-10
904,dether,2018-02-15
393,alphacat,2018-02-15
1291,fusion,2018-02-16
1499,restart-energy-mwat,2018-02-17
30,neurotoken,2018-02-20
1052,gems-protocol,2018-02-20
314,ren,2018-02-21
847,litecoin-cash,2018-02-21
171,arcblock,2018-02-26
1074,remme,2018-02-26
812,nucleus-vision,2018-02-26
769,ink-protocol,2018-02-28
935,refereum,2018-03-01
1492,lympo,2018-03-01
460,iht-real-estate-protocol,2018-03-01
463,insights-network,2018-03-03
1312,credits,2018-03-03
724,bit-tube,2018-03-06
689,coinpoker,2018-03-08
1441,hoqu,2018-03-08
1080,ontology,2018-03-08
88,tomochain,2018-03-08
486,datx,2018-03-08
346,electrifyasia,2018-03-09
69,babb,2018-03-09
1241,bitcoin-private,2018-03-10
