,crypto_name,first_date
0,bitcoin,2013-04-28
1,litecoin,2013-04-28
2,namecoin,2013-04-28
3,litecoin,2013-04-28
4,namecoin,2013-04-28
5,feathercoin,2013-05-03
6,primecoin,2013-07-11
7,peercoin,2013-08-01
8,ripple,2013-08-04
9,nxt,2013-12-04
10,dogecoin,2013-12-15
11,omni,2013-12-24
12,vertcoin,2014-01-20
13,digibyte,2014-02-06
14,reddcoin,2014-02-10
15,dash,2014-02-14
16,counterparty,2014-02-15
17,monacoin,2014-03-20
18,gulden,2014-04-08
19,einsteinium,2014-04-09
20,groestlcoin,2014-04-11
21,maidsafecoin,2014-04-28
22,monero,2014-05-21
23,cloakcoin,2014-06-07
24,nav-coin,2014-06-12
25,digitalnote,2014-06-24
26,stealth,2014-07-10
27,viacoin,2014-07-18
28,bitshares,2014-07-21
29,iocoin,2014-08-02
30,stellar,2014-08-05
31,syscoin,2014-08-20
32,emercoin,2014-08-23
33,gamecredits,2014-09-01
34,nubits,2014-09-24
35,verge,2014-10-25
36,blocknet,2014-11-01
37,nexus,2015-01-25
38,tether,2015-02-25
39,gridcoin,2015-02-28
40,nem,2015-04-01
41,aeon,2015-08-04
42,ethereum,2015-08-07
43,siacoin,2015-08-26
44,expanse,2015-09-15
45,factom,2015-10-06
46,decred,2016-02-10
47,pivx,2016-02-13
48,lisk,2016-04-06
49,digixdao,2016-04-18
50,steem,2016-04-18
51,bitcny,2016-04-27
52,dnotes,2016-04-27
53,bytecoin-bcn,2016-04-27
54,parallelcoin,2016-04-27
55,dimecoin,2016-04-27
56,augur,2016-04-27
57,boolberry,2016-04-27
58,global-currency-reserve,2016-04-27
59,ubiq,2016-04-27
60,waves,2016-06-02
61,steem-dollars,2016-07-18
62,ardor,2016-07-23
63,ethereum-classic,2016-07-24
64,stratis,2016-08-12
65,neo,2016-09-09
66,pluton,2016-09-17
67,singulardtv,2016-10-03
68,zcoin,2016-10-06
69,zcash,2016-10-29
70,zclassic,2016-11-10
71,golem-network-tokens,2016-11-18
72,incent,2016-12-07
73,wings,2017-01-11
74,komodo,2017-02-05
75,melon,2017-02-22
76,nano,2017-03-07
77,ark,2017-03-22
78,edgeless,2017-03-30
79,skycoin,2017-04-17
80,rlc,2017-04-20
81,trust,2017-04-20
82,bitcore,2017-04-27
83,gnosis-gno,2017-05-01
84,lunyr,2017-05-01
85,monolith,2017-05-07
86,humaniq,2017-05-11
87,aragon,2017-05-18
88,qtum,2017-05-24
89,sumokoin,2017-05-30
90,aeternity,2017-06-01
91,basic-attention-token,2017-06-01
92,zencash,2017-06-01
93,metaverse,2017-06-05
94,eboostcoin,2017-06-06
95,quantum-resistant-ledger,2017-06-10
96,mobilego,2017-06-11
97,iota,2017-06-13
98,mysterium,2017-06-14
99,more-coin,2017-06-16
100,zrcoin,2017-06-16
