,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover,HHI
CW,,,,,,,,,0.1798201944963424,8128.0
BTC,,,,,,,,,0.0,1.0
EW,,,,,,,,,0.0,1000.0
MV,,,,,,,,,2.1356700145930447,2527.0
Low Vol,,,,,,,,,,
High Vol,,,,,,,,,,
Low Beta,,,,,,,,,0.5914893617021277,2000.0
High Beta,,,,,,,,,0.5914893617021277,2000.0
Low Beta EW,,,,,,,,,0.1148936170212766,2000.0
High Beta EW,,,,,,,,,0.1148936170212766,2000.0
Low Beta BTC,,,,,,,,,0.2553191489361702,2000.0
High Beta BTC,,,,,,,,,0.2553191489361702,2000.0
