,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,0.02589313403722709,0.2020991750055792,0.12165674861317131,0.0,1.0,-0.5718711080247887,0.0,,0.0492105144715109
BTC,0.030048648995554615,0.20409861140355706,0.14082527700337732,0.004155514958327524,0.9985877677048967,-0.5722877144450021,0.005812766020986549,53.63167644331925,0.0
EW,0.07541990085041975,0.24076954047462878,0.30781923326213045,0.04952676681319265,0.9132194361536253,-0.7125349950238737,0.029800045669131137,254.52784464192877,0.0
MV,0.06393142542214657,0.21398316486983324,0.29266330345005215,0.03803829138491947,0.8118349300580192,-0.6428748843014482,0.028541297278980065,174.91771403983134,0.5004370957582633
Low Vol,0.04338774353026811,0.23162541334387085,0.18167841522272934,0.017494609493041016,0.9213657558873558,-0.8344123888513513,0.028170491717255736,140.39965521120934,0.2674418604651162
High Vol,0.08938967555860003,0.29326688769186654,0.3003519106545178,0.06349654152137293,0.9050731164198949,-0.6064682884424761,0.04420737127691528,253.6851918723634,0.2674418604651162
Low Beta,0.06402184905686573,0.25396407453994146,0.24694612283974168,0.03812871501963863,0.8727533640329259,-0.6957082450372514,0.03510320284965171,191.96352403376608,0.1311111111111111
High Beta,0.07143086625276461,0.2818832704395567,0.2487712755523643,0.045537732215537516,0.9536855082743244,-0.7367145223895493,0.038293032550501635,220.17969597417698,0.1311111111111111
Low Beta EW,0.06402184905686573,0.25396407453994146,0.24694612283974168,0.03812871501963863,0.9439194383591232,-0.6957082450372514,0.03510320284965171,191.96352403376608,0.0644444444444444
High Beta EW,0.07143086625276461,0.2818832704395567,0.2487712755523643,0.045537732215537516,1.056080561640876,-0.7367145223895493,0.038293032550501635,220.17969597417698,0.0644444444444444
Low Beta BTC,0.06693679869751096,0.25356781343852464,0.25882777588717293,0.04104366466028386,0.8083582199095981,-0.8792002387244291,0.03504865459594656,205.455648719486,0.1244444444444444
High Beta BTC,0.06907750283908518,0.2810369340648237,0.2411465865010082,0.04318436880185808,0.9155866726934194,-0.616203422493372,0.03789507021938048,210.28958848475986,0.1244444444444444
