crypto_name,first_date
raiden-network-token,2017-11-08
gamecredits,2014-09-01
smartcash,2017-07-21
razor-network,2021-02-07
bitcoin-cash,2017-07-23
digg,2021-01-27
airswap,2017-10-17
nebula-ai,2019-01-22
bitnation,2018-08-07
reserve-rights,2019-05-24
hard-protocol,2020-12-08
blitzpredict,2018-03-27
pikciochain,2019-01-22
solanium,2021-08-30
xcredit,2020-10-30
reef,2021-02-02
multi-collateral-dai,2019-11-22
dos-network,2019-03-22
verge,2014-10-25
tesra,2019-10-18
bitcoin,2013-04-28
2key-network,2020-05-14
showhand,2018-08-16
beekan,2019-01-22
content-value-network,2019-01-22
ugchain,2019-01-22
mex,2019-01-22
tether-gold,2020-02-07
radix,2021-01-04
ark,2017-03-22
mobox,2021-08-26
pibble,2019-02-28
forceprotocol,2019-07-17
chia-network,2021-09-09
engine,2019-01-22
tolar,2018-10-05
color-platform,2019-10-03
vipstar-coin,2018-05-01
neurotoken,2018-02-20
hyve,2021-07-21
empowr-coin,2019-01-22
lcx,2019-12-03
aencoin,2019-01-22
kine,2021-03-15
p-usd-coin,2021-10-05
3dcoin,2019-09-24
krios,2019-06-06
litecoin,2013-04-28
vectorspace-ai,2019-12-18
flash,2019-01-22
bnsd-finance,2020-09-06
ice-rock-mining,2018-08-07
syncfab,2019-01-22
ucash,2019-01-22
qtum,2017-05-24
utrust,2017-12-29
dsla-protocol,2021-03-16
gameswap,2020-11-04
linda,2019-01-22
fatcoin,2019-04-10
blocktrade-token,2019-01-22
deepbrain-chain,2017-12-28
expanse,2015-09-15
exosis,2019-01-28
raven-protocol,2019-06-19
local-coin-swap,2018-07-25
lto-network,2019-02-06
iot-chain,2017-12-10
b2bx,2019-01-22
capital-x-cell,2019-11-22
icon,2017-10-27
suqa,2019-01-22
nebulas-token,2017-08-23
futureswap,2021-03-30
alien-worlds,2021-04-14
tosdis,2021-01-28
datawallet,2019-01-22
pax-gold,2019-09-26
bezant,2018-05-11
deflect,2020-12-14
smartmesh,2017-12-14
aidus-token,2019-03-07
ixledger,2017-07-27
bobs-repair,2018-07-03
essentia,2018-07-06
daneel,2019-01-22
bomb,2019-05-22
babb,2018-03-09
trinity-network-credit,2018-01-22
weshow-token,2019-01-22
yfdai-finance,2020-09-08
monolith,2017-05-07
birake,2018-09-13
stafi,2020-09-13
fluz-fluz,2019-01-22
meridian-network,2020-08-12
index-cooperative,2021-02-07
cryptobosscoin,2019-11-01
genesis-vision,2017-11-15
