,crypto_name,first_date
983,peercoin,2013-04-28
19,bitcoin,2013-04-28
44,litecoin,2013-04-28
1677,namecoin,2013-04-28
271,feathercoin,2013-05-03
1830,primecoin,2013-07-11
806,ripple,2013-08-04
417,nxt,2013-12-04
463,dogecoin,2013-12-15
1218,omni,2013-12-24
710,vertcoin,2014-01-20
1727,digibyte,2014-02-06
1071,reddcoin,2014-02-10
149,dash,2014-02-14
1563,counterparty,2014-02-15
1265,monacoin,2014-03-20
1812,gulden,2014-04-08
459,einsteinium,2014-04-09
1292,groestlcoin,2014-04-11
619,maidsafecoin,2014-04-28
1782,monero,2014-05-21
101,cloakcoin,2014-06-07
1654,nav-coin,2014-06-12
1639,digitalnote,2014-06-24
358,stealth,2014-07-10
522,viacoin,2014-07-18
1176,bitshares,2014-07-21
1374,iocoin,2014-08-02
678,stellar,2014-08-05
1515,syscoin,2014-08-20
1401,emercoin,2014-08-23
1,gamecredits,2014-09-01
17,verge,2014-10-25
1041,blocknet,2014-11-01
802,nexus,2015-01-25
1240,gridcoin,2015-02-28
633,nem,2015-04-01
479,aeon,2015-08-04
896,ethereum,2015-08-07
1302,siacoin,2015-08-26
60,expanse,2015-09-15
1364,factom,2015-10-06
764,decred,2016-02-10
621,pivx,2016-02-13
1254,lisk,2016-04-06
1839,steem,2016-04-18
296,digixdao,2016-04-18
1088,global-currency-reserve,2016-05-14
1082,boolberry,2016-05-14
421,dnotes,2016-05-14
961,augur,2016-05-14
906,dimecoin,2016-05-14
696,parallelcoin,2016-05-14
607,bytecoin-bcn,2016-05-14
1189,ubiq,2016-05-14
1234,waves,2016-06-02
1689,ardor,2016-07-23
1379,ethereum-classic,2016-07-24
752,stratis,2016-08-12
507,neo,2016-09-09
1628,pluton,2016-09-17
1523,singulardtv,2016-10-03
1044,zcoin,2016-10-06
1404,zcash,2016-10-29
331,zclassic,2016-11-10
913,golem-network-tokens,2016-11-18
525,wings,2017-01-11
173,komodo,2017-02-05
1312,melon,2017-02-22
1698,nano,2017-03-07
27,ark,2017-03-22
1075,edgeless,2017-03-30
1477,skycoin,2017-04-17
886,rlc,2017-04-20
1208,trust,2017-04-20
102,bitcore,2017-04-27
1311,gnosis-gno,2017-05-01
1625,lunyr,2017-05-01
89,monolith,2017-05-07
1328,humaniq,2017-05-11
1153,aragon,2017-05-18
51,qtum,2017-05-24
742,sumokoin,2017-05-30
1509,basic-attention-token,2017-06-01
1877,zencash,2017-06-01
1147,aeternity,2017-06-01
1571,metaverse,2017-06-05
712,eboostcoin,2017-06-06
1285,quantum-resistant-ledger,2017-06-10
643,mobilego,2017-06-11
1492,iota,2017-06-13
505,mysterium,2017-06-14
1609,zrcoin,2017-06-16
841,more-coin,2017-06-16
1514,bancor,2017-06-22
551,numeraire,2017-06-23
688,gxchain,2017-06-25
686,funfair,2017-06-27
974,status,2017-06-28
628,ergo,2017-06-29
