,average_log_volume,average_volatility
parallelcoin,5.991000433710422,0.9106976953082477
boolberry,7.788531980973316,0.33677587667145137
dimecoin,8.084900303526792,0.4477663974039815
eboostcoin,8.571617297185842,0.2584956581934927
trust,8.672167406267306,0.28919249079680326
gridcoin,9.006720694219673,0.1211418030946999
more-coin,9.352179652054645,0.09521886013813563
stealth,9.411945774593706,0.3850907301708123
iocoin,9.424734362582774,0.5166318915277938
mysterium,9.57674335483751,0.12918235893667285
counterparty,9.700032157879711,0.11062317817878618
dnotes,9.730481604784185,0.4126014387581355
aeon,10.03680358350865,0.09246005740978239
namecoin,10.090225260753249,0.09333649635453367
edgeless,10.413888782359816,0.0974095873973265
pluton,10.433393529506079,0.13819965884966182
bitcore,10.507663907572569,0.11862704778608012
omni,10.636430799144055,0.10934834489471341
feathercoin,10.67021425941829,0.07885317450389542
ubiq,10.757155776676774,0.07813502759401604
gulden,10.791293291295805,0.06709736085584478
monolith,10.850386653099724,0.09586662059454278
expanse,10.857524992338732,0.21960252398645677
ergo,10.86916836272843,0.17587790669472658
blocknet,10.92747897183104,0.09718488591628402
sumokoin,10.983752284518886,0.09980801225356237
zrcoin,11.086322585080474,0.0874751460641757
primecoin,11.424566301012193,0.11836772751785869
cloakcoin,11.521191873128926,0.16154614647548607
zclassic,11.575327816911717,0.1341542783742925
emercoin,11.588783215863085,0.07697136043118992
humaniq,11.9468388943853,0.09972334705853145
peercoin,12.069871879081022,0.07338132002155265
wings,12.388875986503958,0.09517785522958595
digitalnote,12.390606176879228,0.13460797694346416
gamecredits,12.45589063913769,0.08005665347621992
quantum-resistant-ledger,12.467320514216699,0.08746942705301902
bytecoin-bcn,12.665097925193123,0.1667773637109483
factom,12.896206371160583,0.07240007489455112
gnosis-gno,12.992637741163996,0.0652335062932726
melon,13.058442742869197,0.08359992098860071
lunyr,13.304069545924127,0.10038071013079436
nexus,13.384521949072868,0.07450281205583854
singulardtv,13.493325540125776,0.08736113968825304
viacoin,13.494297067461625,0.0792632600138762
maidsafecoin,13.508762672560472,0.06803557965536336
reddcoin,13.548155692801277,0.13127826677086776
numeraire,13.595581683150046,0.09910308345469024
nav-coin,13.598306203392934,0.07840022657157386
skycoin,13.650904217196517,0.08777238141527438
digixdao,13.752905482090625,0.065497654624635
mobilego,13.793833275661386,0.17148434749182365
aragon,13.826637313279296,0.0737979702655764
vertcoin,14.06919142147654,0.08957734278413762
pivx,14.285207014205616,0.0697193109222419
einsteinium,14.333399855884851,0.08651097178091546
nxt,14.47269076684812,0.06784266377540928
syscoin,14.506785411487678,0.08404564662865725
funfair,14.691725144251304,0.07375493467297842
rlc,14.862898435367065,0.08604443147713954
metaverse,14.880069292352077,0.1067071391379019
ark,14.907225100282343,0.07209789482145393
zencash,15.235860264733606,0.0770927235212859
komodo,15.282606097676851,0.07033084482175098
ardor,15.307855137902777,0.07259705963691576
monacoin,15.338591909182293,0.08001767818977897
zcoin,15.420057883568278,0.06844448681723522
groestlcoin,15.441527628442003,0.10008198445766775
stratis,15.533627428949494,0.0729839267024027
steem,15.677057742851918,0.0709684131318386
golem-network-tokens,15.893383374633883,0.06990649166310951
digibyte,15.901169303714742,0.07569815133888333
decred,16.049831486210685,0.05851490365165177
siacoin,16.07935094389947,0.07381946153310358
verge,16.08005519652402,0.08392357901139312
gxchain,16.120139212415225,0.07195446619199557
nano,16.21649532922861,0.08631243751201392
bancor,16.22278785507564,0.06212504917865925
lisk,16.254957943038946,0.0648754855140421
bitshares,16.295633767768017,0.07439100054481634
aeternity,16.302651910507148,0.0726879903401841
augur,16.440732795300807,0.07227080269283251
status,17.158450170426722,0.07719920804191603
iota,17.36816071226186,0.06654438042431988
waves,17.479328997977895,0.06683491605974032
nem,17.483895300782724,0.07090332144059644
basic-attention-token,17.571621466645905,0.06633631447263416
dogecoin,18.388155143661397,0.0884400472709252
monero,18.76763204244462,0.05551356757404403
zcash,19.32806335874516,0.05978703905240618
stellar,19.361810408364022,0.0679601413000823
qtum,19.54968959943813,0.07239732247203443
dash,19.61808542974856,0.06122063944973966
neo,19.624913793886297,0.06533163661928353
ethereum-classic,20.292279265232878,0.06224465522229872
ripple,21.18850330582539,0.06472081220105755
litecoin,21.282512386174503,0.05654465917019919
ethereum,22.651953111529377,0.05153412752445265
bitcoin,23.506445811059326,0.04046323602971305
