crypto_name,first_date
raiden-network-token,2019-01-20
gamecredits,2019-01-20
smartcash,2019-01-20
razor-network,2021-02-07
bitcoin-cash,2019-01-20
digg,2021-01-27
airswap,2019-01-20
nebula-ai,2019-01-20
bitnation,2019-01-20
reserve-rights,2019-05-24
hard-protocol,2020-12-08
blitzpredict,2019-01-20
pikciochain,2019-01-20
solanium,2021-08-30
xcredit,2020-10-30
reef,2021-02-02
multi-collateral-dai,2019-11-22
dos-network,2019-03-22
verge,2019-01-20
tesra,2019-10-18
bitcoin,2019-01-20
2key-network,2020-05-14
showhand,2019-01-20
beekan,2019-01-20
content-value-network,2019-01-20
ugchain,2019-01-20
mex,2019-01-20
tether-gold,2020-02-07
radix,2021-01-04
ark,2019-01-20
mobox,2021-08-26
pibble,2019-02-28
forceprotocol,2019-07-17
chia-network,2021-09-09
engine,2019-01-20
tolar,2019-01-20
color-platform,2019-10-03
vipstar-coin,2019-01-20
neurotoken,2019-01-20
hyve,2021-07-21
empowr-coin,2019-01-20
lcx,2019-12-03
aencoin,2019-01-20
kine,2021-03-15
p-usd-coin,2021-10-05
3dcoin,2019-09-24
krios,2019-06-06
litecoin,2019-01-20
vectorspace-ai,2019-12-18
flash,2019-01-20
bnsd-finance,2020-09-06
ice-rock-mining,2019-01-20
syncfab,2019-01-20
ucash,2019-01-20
qtum,2019-01-20
utrust,2019-01-20
dsla-protocol,2021-03-16
gameswap,2020-11-04
linda,2019-01-20
fatcoin,2019-04-10
blocktrade-token,2019-01-20
deepbrain-chain,2019-01-20
expanse,2019-01-20
exosis,2019-01-28
raven-protocol,2019-06-19
local-coin-swap,2019-01-20
lto-network,2019-02-06
iot-chain,2019-01-20
b2bx,2019-01-20
capital-x-cell,2019-11-22
icon,2019-01-20
suqa,2019-01-20
nebulas-token,2019-01-20
futureswap,2021-03-30
alien-worlds,2021-04-14
tosdis,2021-01-28
datawallet,2019-01-20
pax-gold,2019-09-26
bezant,2019-01-20
deflect,2020-12-14
smartmesh,2019-01-20
aidus-token,2019-03-07
ixledger,2019-01-20
bobs-repair,2019-01-20
essentia,2019-01-20
daneel,2019-01-20
bomb,2019-05-22
babb,2019-01-20
trinity-network-credit,2019-01-20
weshow-token,2019-01-20
